"File Number", "Left Bound", "Right Bound", "Top Bound", "Bottom Bound"
1,145000.0,162000.0,247000.0,238000.0
2,162000.0,194000.0,250000.0,238000.0
3,194000.0,206000.0,248000.0,238000.0
4,53000.0,66000.0,225500.0,218000.0
5,66000.0,98000.0,232000.0,218000.0
6,98000.0,130000.0,227000.0,218000.0
7,130000.0,162000.0,238000.0,218000.0
8,162000.0,194000.0,238000.0,218000.0
9,194000.0,226000.0,238000.0,218000.0
10,226000.0,238000.0,227000.0,218000.0
11,18500.0,34000.0,206500.0,198000.0
12,34000.0,66000.0,218000.0,198000.0
13,66000.0,98000.0,218000.0,198000.0
14,98000.0,130000.0,218000.0,198000.0
15,130000.0,162000.0,218000.0,198000.0
16,162000.0,194000.0,218000.0,198000.0
17,194000.0,226000.0,218000.0,198000.0
18,226000.0,258000.0,218000.0,198000.0
19,17000.0,34000.0,198000.0,178000.0
20,34000.0,66000.0,198000.0,178000.0
21,66000.0,98000.0,198000.0,178000.0
22,98000.0,130000.0,198000.0,178000.0
23,130000.0,162000.0,198000.0,178000.0
24,162000.0,194000.0,198000.0,178000.0
25,194000.0,226000.0,198000.0,178000.0
26,226000.0,258000.0,198000.0,178000.0
27,20000.0,34000.0,178000.0,158000.0
28,34000.0,66000.0,178000.0,158000.0
29,66000.0,98000.0,178000.0,158000.0
30,98000.0,130000.0,178000.0,158000.0
31,130000.0,162000.0,178000.0,158000.0
32,162000.0,194000.0,178000.0,158000.0
33,194000.0,226000.0,178000.0,158000.0
34,226000.0,258000.0,178000.0,158000.0
35,258000.0,264000.0,169000.0,158000.0
36,34000.0,66000.0,158000.0,151000.0
37,66000.0,98000.0,158000.0,150000.0
38,98000.0,130000.0,158000.0,148000.0
39,130000.0,162000.0,158000.0,148000.0
40,162000.0,194000.0,158000.0,152000.0
41,194000.0,226000.0,158000.0,149000.0
42,226000.0,258000.0,158000.0,151000.0
43,258000.0,264000.0,158000.0,151000.0
